,laws,marriage,other,penance,second,means,stdevs,cases
in,27.53303964757709,23.279558913620583,25.984967740505066,24.35695538057743,29.099993248261427,26.05090298610832,2.3477560789526355,20.527045769764214
non,13.215859030837004,27.261588727792528,23.70130589982928,27.506561679790025,21.200459118222945,22.577154891294356,5.853115379513608,6.65742024965326
et,23.6784140969163,20.522769042270777,23.25787641620291,26.14173228346457,24.036189318749578,23.52739623152083,2.0135078390090033,19.41747572815534
est,15.418502202643172,19.297529099448642,16.5842626876261,17.95275590551181,12.018094659374789,16.254228910920904,2.77933736755113,3.6061026352288486
de,8.259911894273127,10.618746171125178,10.464935813582246,12.388451443569554,12.693268516643036,10.885062767838628,1.7796512184052236,7.766990291262136
quod,13.215859030837004,11.333469471104758,12.526882912444849,9.028871391076114,5.874012558233745,10.395819072739293,2.986993758059782,4.160887656033287
qui,2.2026431718061676,5.921993056973657,10.708822029576748,11.233595800524933,9.317399230301803,7.876890657836662,3.787514977499246,6.102635228848821
ad,4.405286343612335,7.351439656932816,10.37624991685697,10.183727034120734,9.654986158935927,8.394337822091757,2.5357095561963043,12.205270457697642
sed,6.607929515418502,10.618746171125178,9.688934217236104,7.454068241469817,7.561947201404362,8.386325069330793,1.68759347713977,0.0
unde,13.215859030837004,5.615683071268123,8.513846085626234,3.674540682414698,15.79906826007697,9.363799426044606,5.084031621335137,0.0
uel,14.317180616740089,8.882989585460486,8.713389353258098,4.304461942257217,8.709742758760381,8.985552851295253,3.5531510708189518,8.044382801664355
ut,6.607929515418502,6.024096385542169,8.491674611444916,9.343832020997375,5.671460401053271,7.227798586891247,1.6070396155427455,3.883495145631068
si,3.303964757709251,7.861956299775373,6.008469503137263,10.813648293963254,10.802781716291944,7.758164114175417,3.2217144454809588,14.424410540915394
autem,10.462555066079295,7.453542985501327,6.828814047846041,5.774278215223097,8.372155830126257,7.778269228955203,1.7734841419982605,0.8321775312066575
cum,10.462555066079295,9.393506228303043,7.427443850741636,5.039370078740157,5.738977786780096,7.612370602128846,2.316253755242982,2.7739251040221915
a,4.955947136563877,5.717786399836635,7.471786799104272,8.608923884514434,4.861251772331376,6.323139198470119,1.652042972583696,8.876560332871012
ex,6.057268722466961,6.024096385542169,6.097155399862537,6.194225721784777,5.333873472419148,5.941323940415118,0.34551891988693706,4.993065187239945
enim,4.955947136563877,5.615683071268123,5.2102964326098045,6.6141732283464565,4.186077915063128,5.316435556770278,0.8933921244486247,0.0
sunt,11.563876651982378,3.2673065141923625,5.941955080593308,3.9895013123359577,4.051043143609479,5.762736540542697,3.390677452726862,2.4965325936199725
que,3.303964757709251,6.024096385542169,4.678181052258164,7.664041994750656,3.983525757882655,5.130761989628579,1.7373631262723548,4.160887656033287
etiam,2.7533039647577096,3.369409842760874,4.7446954748021195,4.514435695538057,7.291877658497063,4.534744527271164,1.7448359777504867,0.5547850208044383
uero,12.114537444933921,3.5736164998978963,4.899895794071348,2.729658792650919,6.481669029775167,5.95987551226585,3.7217005895530826,3.0513176144244105
ab,3.303964757709251,4.186236471308964,5.432011174422988,2.204724409448819,3.1057997434339346,3.6465473112647913,1.2214509419569037,8.876560332871012
ait,6.607929515418502,3.1652031856238514,4.61166662971421,4.934383202099737,3.4433866720680575,4.552513840984871,1.3719375703168712,0.0
ergo,3.854625550660793,5.411476414131101,4.567323681351573,5.1443569553805775,1.5528998717169673,4.106136494648203,1.5473188633311068,0.0
quia,3.854625550660793,5.003063099857055,4.412123362082345,4.199475065616798,2.565660657619337,4.006989547167265,0.9074676799265882,0.8321775312066575
esse,4.405286343612335,5.921993056973657,3.791322085005432,4.304461942257217,3.3758692863412327,4.359786542837975,0.9665486593491828,3.0513176144244105
item,1.6519823788546255,4.492546457014498,4.07955124936257,3.569553805774278,4.118560529336304,3.582438884068455,1.128014988857838,0.27739251040221913
per,1.6519823788546255,2.144169899938738,3.8800079817307056,4.619422572178478,3.2408345148875837,3.107283469518026,1.2193228378573724,3.6061026352288486
nec,4.405286343612335,4.594649785583011,3.857836507549387,1.2598425196850394,3.4433866720680575,3.5122003656995657,1.3385266941713987,0.8321775312066575
