,cases,laws,marriage,other,penance,second
in,2.052704577,2.753303965,2.330573444,2.599649535,2.435951281,2.913146333
et,1.941747573,2.36784141,2.054584483,2.326819422,2.614447711,2.406218317
non,0.665742025,1.321585903,2.729224164,2.371182042,2.750944981,2.122338628
est,0.360610264,1.54185022,1.931922723,1.65916199,1.795464091,1.203109158
de,0.776699029,0.825991189,1.063068588,1.046957833,1.23897522,1.270699561
quod,0.416088766,1.321585903,1.134621282,1.253244017,0.90298194,0.588036499
ad,1.220527046,0.440528634,0.735970561,1.038085309,1.01847963,0.966542751
qui,0.610263523,0.220264317,0.592865174,1.071357274,1.12347753,0.93274755
sed,0,0.660792952,1.063068588,0.969323248,0.74548509,0.757012504
unde,0,1.321585903,0.562199734,0.851762305,0.36749265,1.581615411
uel,0.80443828,1.431718062,0.899519575,0.893906794,0.44099118,0.885434268
si,1.442441054,0.330396476,0.787079628,0.601113502,1.08147837,1.081446435
ut,0.388349515,0.660792952,0.603086988,0.849544174,0.93448131,0.567759378
cum,0.27739251,1.046255507,0.940406828,0.743073886,0.50398992,0.574518418
a,0.887656033,0.495594714,0.572421548,0.747510148,0.86098278,0.486650896
autem,0.083217753,1.046255507,0.746192375,0.683184349,0.57748845,0.838120987
ex,0.499306519,0.605726872,0.603086988,0.609986026,0.61948761,0.533964177
sunt,0.249653259,1.156387665,0.327098027,0.594459109,0.39899202,0.405542413
enim,0,0.495594714,0.562199734,0.521260786,0.66148677,0.419060493
que,0.416088766,0.330396476,0.603086988,0.468025642,0.76648467,0.398783373
uero,0.305131761,1.211453744,0.357763467,0.490206952,0.27299454,0.648867861
etiam,0.055478502,0.275330396,0.337319841,0.474680035,0.45149097,0.729976343
ab,0.887656033,0.330396476,0.419094347,0.543442096,0.22049559,0.31091585
ait,0,0.660792952,0.316876214,0.461371249,0.49349013,0.344711051
esse,0.305131761,0.440528634,0.592865174,0.379300401,0.43049139,0.337952011
ergo,0,0.385462555,0.541756108,0.456934987,0.51448971,0.155457925
quia,0.083217753,0.385462555,0.500868854,0.44140807,0.4199916,0.256843528
item,0.027739251,0.165198238,0.449759787,0.408136105,0.35699286,0.412301453
per,0.360610264,0.165198238,0.21465808,0.388172925,0.46199076,0.32443393
nec,0.083217753,0.440528634,0.459981601,0.385954794,0.12599748,0.344711051
